Product Name,ProductId,UNSPSC,Category Name,Cust Field 1,Cust Field 2,Cust Field 3,Cust Field 4,Cust Field 5,Configurable Product
NETADV F/WEB CLT W/PRTY SPT 90 DAY EARLY BIRD RNWL WIN LICENSE                  ,2610587,4323230400,Data base management system software                                            ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADV F/WEB CLT W/PRTY SPT RNWL                                                ,2612867,4323230400,Data base management system software                                            ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADV F/WEB CLT W/PRTY SPT RNWL                                                ,2534705,4323230400,Data base management system software                                            ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADV F/WIN CLT 60 DAY EARLY BIRD RNWWL                                        ,2525707,4323230400,Data base management system software                                            ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADV F/WIN CLT RNWL                                                           ,2611792,4323240300,Enterprise application integration software                                     ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADV FOR ASP.NET 2010 VOL3 UPGRADE W/SUBSCRIPTION & SC                        ,2603367,4323240300,Enterprise application integration software                                     ,2010,,,INFRAGISTICS                            ,1,No
NETADV SELECT 2010 VOL2 W/SUB&SC                                                ,2593213,4323240300,Enterprise application integration software                                     ,2010,,,INFRAGISTICS                            ,1,No
NETADV SELECT CORP SUB W/PRTY SPT RNWL 12/31/2010 – 12/30/2011                  ,2603820,4323240300,Enterprise application integration software                                     ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADV SELECT CORP SUB W/PRTY SPT RNWL WIN LICENSE                              ,2496457,4323300200,Network operation system software                                               ,NONE  ,,,INFRAGISTICS                            ,1,No
NETADV ULT 2010 VOL3 W/PRTY SPT UPG F/SELECT W/PS                               ,2608457,4323230400,Data base management system software                                            ,2010,,,INFRAGISTICS                            ,1,No
NETADV ULT 2010 VOL3 W/PS UPG F/.NET W/PS CORP                                  ,2615435,4323230400,Data base management system software                                            ,2010,,,INFRAGISTICS                            ,1,No
NETADV ULTIMATE 2010 VOL3 UPG F/.NET CORP                                       ,2615436,4323230400,Data base management system software                                            ,2010,,,INFRAGISTICS                            ,1,No
NETADV ULTIMATE 2010 VOL3 UPG F/SELECT                                          ,2608456,4323230400,Data base management system software                                            ,2010,,,INFRAGISTICS                            ,1,No
